Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-09-27 00:00:00+00:00,109675.7578125,109702.3671875,109649.578125,109702.3671875,535609344
2025-09-27 00:15:00+00:00,109643.578125,109703.78125,109574.734375,109664.734375,64864256
2025-09-27 00:30:00+00:00,109564.4296875,109650.8671875,109546.03125,109650.8671875,867098624
2025-09-27 00:45:00+00:00,109644.4765625,109650.0,109547.2734375,109555.9140625,608100352
2025-09-27 01:00:00+00:00,109569.234375,109703.34375,109569.234375,109691.515625,0
2025-09-27 01:15:00+00:00,109518.0390625,109595.0078125,109500.84375,109595.0078125,23404544
2025-09-27 01:30:00+00:00,109442.84375,109554.203125,109437.296875,109528.6171875,42852352
2025-09-27 01:45:00+00:00,109475.515625,109479.0,109418.6953125,109418.6953125,75542528
2025-09-27 02:00:00+00:00,109490.8046875,109529.1171875,109476.4609375,109499.6328125,789532672
2025-09-27 02:15:00+00:00,109411.8203125,109514.3203125,109399.9765625,109501.484375,0
2025-09-27 02:30:00+00:00,109500.140625,109512.6796875,109400.890625,109403.2890625,961675264
2025-09-27 02:45:00+00:00,109468.6484375,109507.4140625,109461.2109375,109506.96875,121008128
2025-09-27 03:00:00+00:00,109503.7109375,109548.6875,109479.5546875,109479.5546875,64532480
2025-09-27 03:15:00+00:00,109623.015625,109632.1484375,109508.2109375,109508.2109375,46960640
2025-09-27 03:30:00+00:00,109734.5390625,109772.25,109618.9453125,109620.4609375,1126928384
2025-09-27 03:45:00+00:00,109595.734375,109700.8203125,109595.734375,109700.8203125,968916992
2025-09-27 04:00:00+00:00,109608.3046875,109665.8203125,109595.3125,109597.8203125,1608822784
2025-09-27 04:15:00+00:00,109660.9140625,109671.7578125,109601.8984375,109618.203125,766468096
2025-09-27 04:30:00+00:00,109677.3515625,109758.765625,109676.5859375,109751.7890625,1056014336
2025-09-27 04:45:00+00:00,109707.859375,109731.375,109673.046875,109680.5546875,30593024
2025-09-27 05:00:00+00:00,109684.46875,109709.4453125,109661.7578125,109709.3125,0
2025-09-27 05:15:00+00:00,109683.4375,109706.0078125,109659.5859375,109679.859375,0
2025-09-27 05:30:00+00:00,109717.4609375,109729.46875,109665.90625,109665.90625,0
2025-09-27 05:45:00+00:00,109690.2265625,109731.0859375,109676.59375,109716.4375,33603584
2025-09-27 06:00:00+00:00,109649.984375,109675.4453125,109635.7578125,109658.1875,0
2025-09-27 06:15:00+00:00,109597.609375,109656.640625,109575.734375,109651.8046875,0
